edge_id,origin_id,destination_id,key,street_name,highway_type,length_m,lanes,maxspeed_kmh,oneway,base_time_min,base_risk,surface_quality,has_coverage,origin_lat,origin_lon,destination_lat,destination_lon
1281,593276710,593276714,0,Calle de Cantarranas,residential,85.89,1,30,True,0.1718,0.6,0.85,True,42.5981845,-5.562161,42.5979992,-5.5611424
1282,593276710,593276686,0,Calle Obispo Almarcha,residential,70.0,1,30,True,0.14,0.6,0.85,True,42.5981845,-5.562161,42.5988059,-5.5620245
1283,593276714,593299809,0,Calle Batalla de Clavijo,residential,69.07,1,30,True,0.1381,0.6,0.85,True,42.5979992,-5.5611424,42.5973945,-5.5613356
1284,593276719,593299791,0,Calle de San Guillermo,residential,42.57,1,30,True,0.0851,0.6,0.85,True,42.599539,-5.5628605,42.5994516,-5.5623541
1285,593276719,1307572117,0,Calle de San Juan,tertiary,75.34,2,30,True,0.1507,0.5,0.85,True,42.599539,-5.5628605,42.6001987,-5.5626504
1286,593299594,615622864,0,Avenida del Reino de León,tertiary,35.15,1,30,True,0.0703,0.5,0.85,True,42.5924248,-5.564161,42.5927379,-5.5642198
1287,593299594,615622857,0,Calle Juan de Herrera,residential,13.06,1,30,True,0.0261,0.6,0.85,True,42.5924248,-5.564161,42.5923327,-5.5642599
1288,593299602,593299594,0,Avenida del Reino de León,tertiary,52.94,1,30,True,0.1059,0.5,0.85,True,42.5919548,-5.5640582,42.5924248,-5.564161
1289,593299602,593299613,0,Calle Santo Toribio de Mogrobejo,residential,71.54,1,30,True,0.1431,0.6,0.85,True,42.5919548,-5.5640582,42.5924263,-5.5634652
1290,593299613,593299643,0,Calle Santo Toribio de Mogrobejo,residential,122.18,1,30,True,0.2444,0.6,0.85,True,42.5924263,-5.5634652,42.5932644,-5.5625002
1291,593299613,593320056,0,Calle José María Pereda,residential,56.36,1,30,True,0.1127,0.6,0.85,True,42.5924263,-5.5634652,42.5921065,-5.562931
1292,593299617,390043125,0,Avenida del Reino de León,tertiary,37.91,1,30,True,0.0758,0.5,0.85,True,42.5934143,-5.5643502,42.5937523,-5.5644109
1293,593299617,7102272318,0,Calle Gregorio Fernández,residential,9.06,1,30,True,0.0181,0.6,0.85,True,42.5934143,-5.5643502,42.5933495,-5.5644173
1294,593299631,593299712,0,Calle de Leopoldo Panero,residential,187.42,1,30,True,0.3748,0.6,0.85,True,42.5937455,-5.5633022,42.5950167,-5.5617989
1295,593299631,593299652,0,Avenida de los Bordadores,residential,40.84,1,30,True,0.0817,0.6,0.85,True,42.5937455,-5.5633022,42.5939836,-5.5636821
